,Metrics,Mean,Median,Standard Deviation,Minimum,Maximum
51,adjacent_overlap_2_noun_sent_div_seg,0.6522301415808313,0.578947368421,0.4027025560531972,0.0294117647059,2.55
52,adjacent_overlap_binary_2_noun_sent,0.43416918770876683,0.423076923077,0.20041784178559735,0.0294117647059,1.0
53,adjacent_overlap_verb_sent,0.10740960536037,0.1,0.057599361073918595,0.0,0.382716049383
54,adjacent_overlap_verb_sent_div_seg,0.2616134794685936,0.230769230769,0.16658238826685673,0.0,1.19230769231
55,adjacent_overlap_binary_verb_sent,0.22283136856546557,0.2,0.1286395731295514,0.0,0.818181818182
56,adjacent_overlap_2_verb_sent,0.1721219118398665,0.165275574257,0.07516128014270486,0.0,0.532467532468
57,adjacent_overlap_2_verb_sent_div_seg,0.41611754356952824,0.380952380952,0.22666077194401704,0.0,1.64
58,adjacent_overlap_binary_2_verb_sent,0.3348615493542764,0.316985645933,0.15595305208896237,0.0,0.923076923077
59,adjacent_overlap_adj_sent,0.05787681894948105,0.0434782608696,0.06078391500829495,0.0,0.333333333333
60,adjacent_overlap_adj_sent_div_seg,0.06808569908648576,0.0434782608696,0.08038424404847078,0.0,0.533333333333
61,adjacent_overlap_binary_adj_sent,0.0634125121014224,0.0416666666667,0.0721784188367675,0.0,0.466666666667
62,adjacent_overlap_2_adj_sent,0.09371109926631294,0.0769230769231,0.08472817547052632,0.0,0.6
63,adjacent_overlap_2_adj_sent_div_seg,0.11092741915507394,0.0740740740741,0.12033086628046298,0.0,0.818181818182
64,adjacent_overlap_binary_2_adj_sent,0.0987845593103937,0.0714285714286,0.09969695757695075,0.0,0.642857142857
65,adjacent_overlap_adv_sent,0.06936498289774082,0.0588235294118,0.06791730171458818,0.0,0.588235294118
66,adjacent_overlap_adv_sent_div_seg,0.0706516220024511,0.05,0.07996051891577696,0.0,0.833333333333
67,adjacent_overlap_binary_adv_sent,0.066351986966239,0.047619047619,0.07075065907862099,0.0,0.44
68,adjacent_overlap_2_adv_sent,0.12557495664758922,0.111111111111,0.09251358810756327,0.0,0.645161290323
69,adjacent_overlap_2_adv_sent_div_seg,0.12627595473258804,0.1,0.11539066763733283,0.0,0.869565217391
70,adjacent_overlap_binary_2_adv_sent,0.1169569735832505,0.0952380952381,0.09986784067060495,0.0,0.533333333333
71,adjacent_overlap_pronoun_sent,0.37738734710549554,0.375,0.12711130559414316,0.0,0.786885245902
72,adjacent_overlap_pronoun_sent_div_seg,0.5253071501015586,0.481481481481,0.27316291875529036,0.0,1.82352941176
73,adjacent_overlap_binary_pronoun_sent,0.4426695503861231,0.4240384615385,0.1999159745382493,0.0,1.0
74,adjacent_overlap_2_pronoun_sent,0.5159881457074534,0.526315789474,0.13310467647424268,0.0666666666667,0.9
75,adjacent_overlap_2_pronoun_sent_div_seg,0.7086747366672767,0.6846978557505,0.3236430354193638,0.04,2.25
76,adjacent_overlap_binary_2_pronoun_sent,0.555617479167433,0.555555555556,0.20267316702124258,0.04,1.0
77,adjacent_overlap_argument_sent,0.2134082524755389,0.207477288609,0.06780560367025398,0.0510204081633,0.521739130435
78,adjacent_overlap_argument_sent_div_seg,0.8888378442093906,0.833333333333,0.33874874082532364,0.213333333333,2.22033898305
79,adjacent_overlap_binary_argument_sent,0.5984832869562732,0.590909090909,0.1654139963733289,0.170731707317,1.0
80,adjacent_overlap_2_argument_sent,0.30256113890604464,0.3,0.07993565416735196,0.0776699029126,0.611111111111
81,adjacent_overlap_2_argument_sent_div_seg,1.2574124871606278,1.21428571429,0.4303670455033934,0.305555555556,2.95238095238
82,adjacent_overlap_binary_2_argument_sent,0.7282358381916715,0.736842105263,0.14398293311927204,0.210526315789,1.0
83,adjacent_overlap_all_para,0.2565938130451023,0.2587977296185,0.09079914214450893,0.0,0.863636363636
84,adjacent_overlap_all_para_div_seg,9.32110974154013,8.14285714286,5.897728443501313,0.0,41.0
85,adjacent_overlap_binary_all_para,0.8189026812515366,0.888888888889,0.22834544540053583,0.0,1.0
86,adjacent_overlap_2_all_para,0.3934922949455885,0.3916646003805,0.1346126934319122,0.0,0.918918918919
87,adjacent_overlap_2_all_para_div_seg,12.909236773482359,12.0,6.714905872681016,0.0,58.0
88,adjacent_overlap_binary_2_all_para,0.888242269019883,1.0,0.21321033185526045,0.0,1.0
89,adjacent_overlap_cw_para,0.16648137970526375,0.15969386337750002,0.08315209314103952,0.0,0.814814814815
90,adjacent_overlap_cw_para_div_seg,3.7459857098878944,3.16666666667,2.856430400927985,0.0,22.0
91,adjacent_overlap_binary_cw_para,0.724615505789883,0.727272727273,0.24353724963352405,0.0,1.0
92,adjacent_overlap_2_cw_para,0.2781709691411558,0.264705882353,0.1367014731150883,0.0,1.0
93,adjacent_overlap_2_cw_para_div_seg,5.501137420484585,5.0,3.3345845021557716,0.0,28.0
94,adjacent_overlap_binary_2_cw_para,0.840753517856152,0.875,0.2236187867580376,0.0,1.0
95,adjacent_overlap_fw_para,0.3812861581777288,0.3903600464575,0.1261116655745882,0.0,1.0
96,adjacent_overlap_fw_para_div_seg,5.639096630022375,5.0,3.41558580936208,0.0,23.0
97,adjacent_overlap_binary_fw_para,0.8133639480688132,0.875,0.22874498350002861,0.0,1.0
98,adjacent_overlap_2_fw_para,0.554884059605946,0.571428571429,0.15783825883854216,0.0,1.0
99,adjacent_overlap_2_fw_para_div_seg,7.577682007779011,7.0,3.892926097621022,0.0,32.0
100,adjacent_overlap_binary_2_fw_para,0.886628288512403,1.0,0.21327128117183583,0.0,1.0
101,adjacent_overlap_noun_para,0.1724279862547941,0.163265306122,0.10071518044514806,0.0,1.0
102,adjacent_overlap_noun_para_div_seg,1.5960528959699942,1.33333333333,1.30299160939989,0.0,14.0
103,adjacent_overlap_binary_noun_para,0.6197152574722473,0.6,0.2775501633328055,0.0,1.0
104,adjacent_overlap_2_noun_para,0.27910130790628435,0.27005577005549997,0.1418176830272027,0.0,1.0
105,adjacent_overlap_2_noun_para_div_seg,2.296765264449282,2.026315789475,1.4585734542699014,0.0,13.5
106,adjacent_overlap_binary_2_noun_para,0.759256073761018,0.8,0.2579703025633785,0.0,1.0
107,adjacent_overlap_verb_para,0.16895975966843438,0.162162162162,0.09992125867782727,0.0,1.0
108,adjacent_overlap_verb_para_div_seg,1.2493590464940196,1.0,1.1184293697372933,0.0,9.0
109,adjacent_overlap_binary_verb_para,0.5436937068908075,0.5,0.2729379975508495,0.0,1.0
110,adjacent_overlap_2_verb_para,0.29162653144451717,0.27645576707749997,0.1613119756933993,0.0,1.0
111,adjacent_overlap_2_verb_para_div_seg,1.8753052247944497,1.6,1.3692816551015647,0.0,11.0
112,adjacent_overlap_binary_2_verb_para,0.7055126982552778,0.75,0.2603037952119038,0.0,1.0
113,adjacent_overlap_adj_para,0.09548779980710988,0.0714285714286,0.09991794878595414,0.0,0.666666666667
114,adjacent_overlap_adj_para_div_seg,0.3477344713234099,0.2,0.4411228187488713,0.0,3.5
115,adjacent_overlap_binary_adj_para,0.2415715988213033,0.2,0.2463440026276976,0.0,1.0
116,adjacent_overlap_2_adj_para,0.17265301888408507,0.142857142857,0.16950915343281286,0.0,1.0
117,adjacent_overlap_2_adj_para_div_seg,0.5332848471503822,0.375,0.5647634873018244,0.0,4.0
118,adjacent_overlap_binary_2_adj_para,0.35560820105090135,0.333333333333,0.29718202736789134,0.0,1.0
119,adjacent_overlap_adv_para,0.13855457249418882,0.125,0.12136162694899237,0.0,1.0
120,adjacent_overlap_adv_para_div_seg,0.42885838037922996,0.3,0.5059898389079406,0.0,7.0
121,adjacent_overlap_binary_adv_para,0.28424906142006057,0.25,0.24718738316596917,0.0,1.0
122,adjacent_overlap_2_adv_para,0.24159188839072526,0.222222222222,0.1895353403305382,0.0,1.0
123,adjacent_overlap_2_adv_para_div_seg,0.6327575373341977,0.5,0.5925650944738029,0.0,5.5
124,adjacent_overlap_binary_2_adv_para,0.41173479887573583,0.4,0.287204958264143,0.0,1.0
125,adjacent_overlap_pronoun_para,0.43087906470014675,0.444444444444,0.19747367062731525,0.0,1.0
126,adjacent_overlap_pronoun_para_div_seg,1.1906024552427723,1.0,0.8354761429980143,0.0,6.0
127,adjacent_overlap_binary_pronoun_para,0.6008051750374612,0.6,0.3006764814041912,0.0,1.0
128,adjacent_overlap_2_pronoun_para,0.601600909449788,0.6417410714285,0.22728707654010802,0.0,1.0
129,adjacent_overlap_2_pronoun_para_div_seg,1.5272378304607075,1.42857142857,0.9598057056285029,0.0,8.0
130,adjacent_overlap_binary_2_pronoun_para,0.7101472403637503,0.777777777778,0.2859771615768393,0.0,1.0
131,adjacent_overlap_argument_para,0.22704295324173854,0.22370500439,0.10371689166746866,0.0,1.0
132,adjacent_overlap_argument_para_div_seg,2.5305138523793875,2.22222222222,1.7023826359491812,0.0,17.0
133,adjacent_overlap_binary_argument_para,0.7308124430260008,0.75,0.2598999669397498,0.0,1.0
134,adjacent_overlap_2_argument_para,0.3452434916155389,0.344827586207,0.13874862151014525,0.0,1.0
135,adjacent_overlap_2_argument_para_div_seg,3.487147282776082,3.25,1.857800308897366,0.0,17.5
136,adjacent_overlap_binary_2_argument_para,0.8320116111204785,0.888888888889,0.2342429971046494,0.0,1.0
137,lsa_1_all_sent,0.3097384335611134,0.30259093333,0.09406037528184685,0.0942664876809,0.688622327634
138,lsa_2_all_sent,0.68916438937567,0.6902058053175,0.05787116189129288,0.519280557281,0.859960838616
139,lsa_1_all_para,0.47775065078678586,0.490395733214,0.17141258852053207,0.0,0.948492925851
140,lsa_2_all_para,0.6991889801954752,0.7389720794004999,0.1782474725213033,0.0,0.962113948086
141,basic_connectives,0.04065170327970325,0.03993865030675,0.012654901925451665,0.0064308681672,0.0843558282209
142,conjunctions,0.03258596256716018,0.0321532999165,0.011374897871620753,0.00335570469799,0.0725126475548
143,disjunctions,0.004081824653881913,0.0027137092023100003,0.004832852684169233,0.0,0.0336448598131
144,lexical_subordinators,0.019569430121562335,0.01925930152935,0.008993946526292823,0.0,0.054
145,coordinating_conjuncts,0.00455874386700112,0.004,0.003833239467600731,0.0,0.0211480362538
146,addition,0.033021435216729275,0.0323329473323,0.011801993468228156,0.0030303030303,0.08
147,sentence_linking,0.026149217013484206,0.025231304643049998,0.009935288367090967,0.0027397260274,0.0789473684211
148,order,0.004879066276341719,0.00356507371632,0.004814487558940578,0.0,0.030534351145
149,reason_and_purpose,0.009427917407976563,0.00819672131148,0.0069708811282778805,0.0,0.0458221024259
150,all_causal,0.010637730996913954,0.00954653937947,0.007053968030176176,0.0,0.0570175438596
151,positive_causal,0.020686493456904945,0.019545630451400002,0.009678165771894343,0.0,0.0604026845638
152,opposition,0.008279687905235948,0.00772797527048,0.0052300058664070705,0.0,0.0337423312883
153,determiners,0.0996487137094556,0.0973009952994,0.02479306423823776,0.015503875969,0.189473684211
154,all_demonstratives,0.02370200345431348,0.022355292983749997,0.010493078502964895,0.0,0.0615141955836
155,attended_demonstratives,0.00511544045066881,0.00420610349403,0.004395615592013196,0.0,0.0260586319218
156,unattended_demonstratives,0.018612179681163795,0.017837257397350002,0.008936898045013767,0.0,0.0520504731861
157,all_additive,0.04689708753411936,0.045903977696350004,0.013512862499121805,0.0096463022508,0.0964912280702
158,all_logical,0.03633507991902083,0.0352941176471,0.013518119516783346,0.00334448160535,0.0816326530612
159,positive_logical,0.01748774370551081,0.016393442623,0.008612241751938355,0.0,0.0625
160,negative_logical,0.007294893566464307,0.00675675675676,0.004723926079822658,0.0,0.0328467153285
161,all_temporal,0.013832461627598646,0.01284112457745,0.00826788404206062,0.0,0.0549682875264
162,positive_intentional,0.005961525684120699,0.005080443947345,0.004983021563609883,0.0,0.030701754386
163,all_positive,0.06730930523571156,0.0668158105839,0.0161697737997795,0.0171821305842,0.121710526316
164,all_negative,0.011854458148816424,0.010989010989,0.006628914864000339,0.0,0.0460526315789
165,all_connective,0.06850325928791694,0.06754496890955,0.017165655987958474,0.0171821305842,0.131078224101
166,pronoun_density,0.06883471278311311,0.062363196589749995,0.032258278577824435,0.00808625336927,0.224
167,pronoun_noun_ratio,0.35512858435266953,0.3,0.23011889907812214,0.03125,2.02325581395
168,repeated_content_lemmas,0.28776669986911896,0.29020588407299996,0.045189987520432295,0.138996138996,0.43661971831
169,repeated_content_and_pronoun_lemmas,0.3535949754252628,0.3537426876495,0.05465856823404218,0.186666666667,0.51214953271
