worker_id,prompt_code,writing_type,Cluster
A3S67QA0SQVPUJ,news,argumentative,"0,2"
A3S67QA0SQVPUJ,screen,argumentative,"0,2"
A3S67QA0SQVPUJ,mana,creative,2
A3S67QA0SQVPUJ,sideeffect,creative,2
A3S67QA0SQVPUJ,bee,creative,2
A3S67QA0SQVPUJ,dad,creative,2
A3S67QA0SQVPUJ,pig,creative,2
A3S67QA0SQVPUJ,reincarnation,creative,2
A3S67QA0SQVPUJ,isolation,creative,2
A3S67QA0SQVPUJ,mattdamon,creative,2
A3S67QA0SQVPUJ,shapeshifter,creative,2
A3S67QA0SQVPUJ,obama,creative,2
A3VEF4M5FIN7KH,stereotype,argumentative,"0,2"
A3VEF4M5FIN7KH,school,argumentative,"0,2"
A6KOTWP7N7RLU,audiobook,argumentative,"0,2"
A6KOTWP7N7RLU,pads,argumentative,"0,2"
A6KOTWP7N7RLU,extremesports,argumentative,"0,2"
A6KOTWP7N7RLU,stereotype,argumentative,"0,2"
A6KOTWP7N7RLU,athletes,argumentative,"0,2"
A6KOTWP7N7RLU,animal,argumentative,"0,2"
A6KOTWP7N7RLU,screen,argumentative,"0,2"
A6KOTWP7N7RLU,dating,argumentative,"0,2"
A6KOTWP7N7RLU,school,argumentative,"0,2"
A6KOTWP7N7RLU,news,argumentative,"0,2"
A6KOTWP7N7RLU,bee,creative,"0,2"
A6KOTWP7N7RLU,dad,creative,"0,2"
A6KOTWP7N7RLU,reincarnation,creative,"0,2"
A6KOTWP7N7RLU,isolation,creative,"0,2"
A6KOTWP7N7RLU,shapeshifter,creative,"0,2"
A6KOTWP7N7RLU,mattdamon,creative,"0,2"
A6KOTWP7N7RLU,obama,creative,"0,2"
A6KOTWP7N7RLU,sideeffect,creative,"0,2"
A6KOTWP7N7RLU,mana,creative,"0,2"
ABL2FXYMI00T6,screen,argumentative,0
ABL2FXYMI00T6,dating,argumentative,0
ABL2FXYMI00T6,isolation,creative,"0,1"
ABL2FXYMI00T6,bee,creative,"0,1"
ABL2FXYMI00T6,obama,creative,"0,1"
ABL2FXYMI00T6,sideeffect,creative,"0,1"
AM2KK02JXXW48,isolation,creative,"0,2"
AM2KK02JXXW48,bee,creative,"0,2"
AM2KK02JXXW48,shapeshifter,creative,"0,2"
AM2KK02JXXW48,obama,creative,"0,2"
ANCIB6B6EBBIJ,dating,argumentative,0
ANCIB6B6EBBIJ,news,argumentative,0
ANCIB6B6EBBIJ,extremesports,argumentative,0
ANCIB6B6EBBIJ,animal,argumentative,0
ANCIB6B6EBBIJ,stereotype,argumentative,0
ANCIB6B6EBBIJ,athletes,argumentative,0
ANCIB6B6EBBIJ,audiobook,argumentative,0
ANCIB6B6EBBIJ,pads,argumentative,0
ANCIB6B6EBBIJ,screen,argumentative,0
ANCIB6B6EBBIJ,school,argumentative,0
ASVRLMDNQBUD9,screen,argumentative,0
ASVRLMDNQBUD9,school,argumentative,0
ASVRLMDNQBUD9,dating,argumentative,0
ASVRLMDNQBUD9,news,argumentative,0
ASVRLMDNQBUD9,audiobook,argumentative,0
ASVRLMDNQBUD9,animal,argumentative,0
ASVRLMDNQBUD9,athletes,argumentative,0
ASVRLMDNQBUD9,extremesports,argumentative,0
ASVRLMDNQBUD9,stereotype,argumentative,0
ASVRLMDNQBUD9,pads,argumentative,0
ASVRLMDNQBUD9,pig,creative,"0,2"
ASVRLMDNQBUD9,mana,creative,"0,2"
ASVRLMDNQBUD9,reincarnation,creative,"0,2"
ASVRLMDNQBUD9,isolation,creative,"0,2"
ASVRLMDNQBUD9,bee,creative,"0,2"
ASVRLMDNQBUD9,dad,creative,"0,2"
ASVRLMDNQBUD9,sideeffect,creative,"0,2"
ASVRLMDNQBUD9,mattdamon,creative,"0,2"
ASVRLMDNQBUD9,obama,creative,"0,2"
AUAAHI7AUJ419,pads,argumentative,0
AUAAHI7AUJ419,sideeffect,creative,"0,2"
AUAAHI7AUJ419,pig,creative,"0,2"
AZLZA0Q87TJZO,shapeshifter,creative,"0,2"
AZLZA0Q87TJZO,reincarnation,creative,"0,2"
AZLZA0Q87TJZO,mana,creative,"0,2"
AZZA3J049G7R5,school,argumentative,"0,1"
AZZA3J049G7R5,extremesports,argumentative,"0,1"
AZZA3J049G7R5,audiobook,argumentative,"0,1"
AZZA3J049G7R5,stereotype,argumentative,"0,1"
AZZA3J049G7R5,dating,argumentative,"0,1"
AZZA3J049G7R5,animal,argumentative,"0,1"
AZZA3J049G7R5,screen,argumentative,"0,1"
AZZA3J049G7R5,news,argumentative,"0,1"
AZZA3J049G7R5,pads,argumentative,"0,1"
AZZA3J049G7R5,athletes,argumentative,"0,1"
