worker_id,prompt_code,writing_type,Total number of sentences,Number of sentences of initial prompt,Number of sentences completely authored by the user,Number of sentences completely authored by GPT-3,Number of sentences authored by GPT-3 and user,Total number of GPT-3 calls made,Number of times GPT-3 suggestion is used,Number of times user rejected GPT-3 suggestion,Number of times GPT-3 suggestion is modified,Number of times GPT-3 suggestion is used as is,GPT-3 : Total Sentences,User : Total Sentences,Amount of GPT-3 Usage,Type Token Ratio,Cluster
A1PTH9KTRO06EG,athletes,argumentative,37,9,26,0,2,4,2,2,1,1,0.0,0.7027027027027027,0.054054054054054,0.396640826873385,2
A3DUPRZSMU9W5R,athletes,argumentative,29,9,17,0,3,3,3,0,2,1,0.0,0.5862068965517241,0.1034482758620689,0.4597495527728086,2
A1PTH9KTRO06EG,extremesports,argumentative,36,5,28,0,3,3,3,0,1,2,0.0,0.7777777777777778,0.0833333333333333,0.4028571428571428,2
A1PTH9KTRO06EG,audiobook,argumentative,33,7,24,0,2,3,2,1,2,0,0.0,0.7272727272727273,0.0606060606060606,0.4227188081936685,2
A2EED3HLTA96CP,news,argumentative,21,6,10,0,5,11,5,6,4,1,0.0,0.4761904761904761,0.238095238095238,0.5884146341463414,0
A1PTH9KTRO06EG,animal,argumentative,32,7,25,0,0,3,0,3,0,0,0.0,0.78125,0.0,0.3962848297213622,2
A1QUQ0TV9KVD4C,audiobook,argumentative,27,7,6,1,13,20,17,3,1,16,0.037037037037037,0.2222222222222222,0.5185185185185185,0.4777777777777778,1
A1QUQ0TV9KVD4C,news,argumentative,21,6,7,0,8,11,9,2,2,7,0.0,0.3333333333333333,0.3809523809523809,0.5047923322683706,0
A1QUQ0TV9KVD4C,athletes,argumentative,20,9,4,0,7,11,8,3,0,8,0.0,0.2,0.35,0.5100864553314121,0
A2EED3HLTA96CP,audiobook,argumentative,23,7,8,1,7,11,8,3,4,4,0.0434782608695652,0.3478260869565217,0.3478260869565217,0.5402298850574713,0
A1QUQ0TV9KVD4C,animal,argumentative,19,7,5,0,7,14,7,7,2,5,0.0,0.2631578947368421,0.3684210526315789,0.4662379421221865,0
A2EED3HLTA96CP,news,argumentative,20,6,9,1,4,8,5,3,3,2,0.05,0.45,0.25,0.5916955017301038,0
A3OLRWACCCCUTU,audiobook,argumentative,25,7,16,0,2,12,2,10,1,1,0.0,0.64,0.08,0.5232558139534884,0
A1QUQ0TV9KVD4C,extremesports,argumentative,26,5,9,0,12,20,15,5,2,13,0.0,0.3461538461538461,0.4615384615384615,0.5454545454545454,0
A2EED3HLTA96CP,athletes,argumentative,22,9,8,0,5,6,5,1,4,1,0.0,0.3636363636363636,0.2272727272727272,0.575,0
A1QUQ0TV9KVD4C,athletes,argumentative,24,9,2,0,13,17,13,4,0,13,0.0,0.0833333333333333,0.5416666666666666,0.513189448441247,0
A1QUQ0TV9KVD4C,news,argumentative,21,6,5,2,8,17,13,4,0,13,0.0952380952380952,0.238095238095238,0.4761904761904761,0.4971264367816091,0
A1QUQ0TV9KVD4C,audiobook,argumentative,22,7,7,1,7,14,10,4,0,10,0.0454545454545454,0.3181818181818182,0.3636363636363636,0.5797665369649806,0
A1QUQ0TV9KVD4C,athletes,argumentative,21,9,3,0,9,19,10,9,0,10,0.0,0.1428571428571428,0.4285714285714285,0.5067385444743935,0
A2EED3HLTA96CP,animal,argumentative,25,7,14,0,4,8,4,4,0,4,0.0,0.56,0.16,0.5190615835777126,0
A1QUQ0TV9KVD4C,extremesports,argumentative,28,5,9,1,13,20,17,3,0,17,0.0357142857142857,0.3214285714285714,0.5,0.5128865979381443,1
A1QUQ0TV9KVD4C,athletes,argumentative,18,9,4,0,5,10,8,2,0,8,0.0,0.2222222222222222,0.2777777777777778,0.592375366568915,0
A3DUPRZSMU9W5R,news,argumentative,30,6,20,0,4,7,4,3,0,4,0.0,0.6666666666666666,0.1333333333333333,0.444234404536862,2
A2EED3HLTA96CP,extremesports,argumentative,26,5,12,3,6,12,10,2,3,7,0.1153846153846153,0.4615384615384615,0.3461538461538461,0.5570291777188329,0
A3DUPRZSMU9W5R,extremesports,argumentative,24,5,11,0,8,10,10,0,2,8,0.0,0.4583333333333333,0.3333333333333333,0.4925925925925926,0
A1QUQ0TV9KVD4C,extremesports,argumentative,15,5,4,0,6,18,7,11,0,7,0.0,0.2666666666666666,0.4,0.5275862068965518,0
A1QUQ0TV9KVD4C,news,argumentative,16,6,3,0,7,17,8,9,0,8,0.0,0.1875,0.4375,0.4486301369863014,0
A1QUQ0TV9KVD4C,audiobook,argumentative,23,7,8,0,8,21,10,11,1,9,0.0,0.3478260869565217,0.3478260869565217,0.5017543859649123,0
A1QUQ0TV9KVD4C,extremesports,argumentative,20,5,6,0,9,14,10,4,0,10,0.0,0.3,0.45,0.5576923076923077,0
A2YTQDLACTLIBA,news,argumentative,23,6,11,1,5,8,6,2,3,3,0.0434782608695652,0.4782608695652174,0.2608695652173913,0.5042016806722689,0
