worker_id,writing_type,prompt_code,Cluster
A2EED3HLTA96CP,creative,mattdamon,"2,1,0"
A2EED3HLTA96CP,creative,obama,"2,1,0"
A2EED3HLTA96CP,creative,pig,"2,1,0"
A2EED3HLTA96CP,creative,reincarnation,"2,1,0"
A2EED3HLTA96CP,creative,shapeshifter,"2,1,0"
A2EED3HLTA96CP,creative,sideeffect,"2,1,0"
A2ONILC0LZKG6Y,argumentative,athletes,0
A2ONILC0LZKG6Y,argumentative,extremesports,0
A2ONILC0LZKG6Y,argumentative,news,0
A2ONILC0LZKG6Y,argumentative,screen,0
A2ONILC0LZKG6Y,argumentative,stereotype,0
A2ONILC0LZKG6Y,creative,bee,"2,1"
A2ONILC0LZKG6Y,creative,dad,"2,1"
A2ONILC0LZKG6Y,creative,isolation,"2,1"
A2ONILC0LZKG6Y,creative,mana,"2,1"
A2ONILC0LZKG6Y,creative,mattdamon,"2,1"
A2ONILC0LZKG6Y,creative,obama,"2,1"
A2ONILC0LZKG6Y,creative,pig,"2,1"
A2ONILC0LZKG6Y,creative,reincarnation,"2,1"
A2ONILC0LZKG6Y,creative,shapeshifter,"2,1"
A2ONILC0LZKG6Y,creative,sideeffect,"2,1"
A2OVOVZBJYUO,argumentative,dating,0
A2OVOVZBJYUO,argumentative,school,0
A2OVOVZBJYUO,creative,bee,"2,0,1"
A2OVOVZBJYUO,creative,dad,"2,0,1"
A2OVOVZBJYUO,creative,isolation,"2,0,1"
A2OVOVZBJYUO,creative,mattdamon,"2,0,1"
A2OVOVZBJYUO,creative,obama,"2,0,1"
A2OVOVZBJYUO,creative,pig,"2,0,1"
A2OVOVZBJYUO,creative,reincarnation,"2,0,1"
A2OVOVZBJYUO,creative,shapeshifter,"2,0,1"
A2OVOVZBJYUO,creative,sideeffect,"2,0,1"
A2OVX9UW5WANQE,creative,bee,"0,1,2"
A2OVX9UW5WANQE,creative,dad,"0,1,2"
A2OVX9UW5WANQE,creative,isolation,"0,1,2"
A2OVX9UW5WANQE,creative,mana,"0,1,2"
A2OVX9UW5WANQE,creative,mattdamon,"0,1,2"
A2OVX9UW5WANQE,creative,obama,"0,1,2"
A2OVX9UW5WANQE,creative,pig,"0,1,2"
A2OVX9UW5WANQE,creative,reincarnation,"0,1,2"
A2OVX9UW5WANQE,creative,shapeshifter,"0,1,2"
A2OVX9UW5WANQE,creative,sideeffect,"0,1,2"
A2QKAA5YS0P4CI,argumentative,dating,0
A2QKAA5YS0P4CI,argumentative,extremesports,0
A2QKAA5YS0P4CI,creative,mana,"0,1"
A2QKAA5YS0P4CI,creative,shapeshifter,"0,1"
A2QKAA5YS0P4CI,creative,sideeffect,"0,1"
A2QX3YJXAAHHVV,argumentative,animal,"1,0"
A2QX3YJXAAHHVV,argumentative,athletes,"1,0"
A2QX3YJXAAHHVV,argumentative,audiobook,"1,0"
A2QX3YJXAAHHVV,argumentative,dating,"1,0"
A2QX3YJXAAHHVV,argumentative,extremesports,"1,0"
A2QX3YJXAAHHVV,argumentative,news,"1,0"
A2QX3YJXAAHHVV,argumentative,pads,"1,0"
A2QX3YJXAAHHVV,argumentative,school,"1,0"
A2QX3YJXAAHHVV,argumentative,screen,"1,0"
A2QX3YJXAAHHVV,argumentative,stereotype,"1,0"
A2QX3YJXAAHHVV,creative,bee,"1,0,2"
A2QX3YJXAAHHVV,creative,dad,"1,0,2"
A2QX3YJXAAHHVV,creative,isolation,"1,0,2"
A2QX3YJXAAHHVV,creative,mana,"1,0,2"
A2QX3YJXAAHHVV,creative,mattdamon,"1,0,2"
A2QX3YJXAAHHVV,creative,obama,"1,0,2"
A2QX3YJXAAHHVV,creative,pig,"1,0,2"
A2QX3YJXAAHHVV,creative,reincarnation,"1,0,2"
A2QX3YJXAAHHVV,creative,shapeshifter,"1,0,2"
A2QX3YJXAAHHVV,creative,sideeffect,"1,0,2"
A2RUHO7I7Y4XFA,creative,dad,"2,0"
A2RUHO7I7Y4XFA,creative,mana,"2,0"
A2RUHO7I7Y4XFA,creative,mattdamon,"2,0"
A2RUHO7I7Y4XFA,creative,obama,"2,0"
A2RUHO7I7Y4XFA,creative,pig,"2,0"
A2RUHO7I7Y4XFA,creative,reincarnation,"2,0"
A2RUHO7I7Y4XFA,creative,shapeshifter,"2,0"
A2RUHO7I7Y4XFA,creative,sideeffect,"2,0"
A2W121DQXNQK1,argumentative,animal,"0,2"
A2W121DQXNQK1,argumentative,athletes,"0,2"
A2W121DQXNQK1,argumentative,audiobook,"0,2"
A2W121DQXNQK1,argumentative,dating,"0,2"
A2W121DQXNQK1,argumentative,extremesports,"0,2"
A2W121DQXNQK1,argumentative,news,"0,2"
A2W121DQXNQK1,argumentative,pads,"0,2"
A2W121DQXNQK1,argumentative,school,"0,2"
A2W121DQXNQK1,argumentative,screen,"0,2"
